name,landmass,zone,area,population,language,religion
Afghanistan,Asia,NE,648,16,Others,Muslim
Albania,Europe,NE,29,3,Other Indo-European,Marxist
Algeria,Africa,NE,2388,20,Arabic,Muslim
American-Samoa,Oceania,SW,0,0,English,Other Christian
Andorra,Europe,NE,0,0,Other Indo-European,Catholic
Angola,Africa,SE,1247,7,Others,Ethnic
Anguilla,N.America,NW,0,0,English,Other Christian
Antigua-Barbuda,N.America,NW,0,0,English,Other Christian
Argentine,S.America,SW,2777,28,Spanish,Catholic
Australia,Oceania,SE,7690,15,English,Other Christian
Austria,Europe,NE,84,8,German,Catholic
Bahamas,N.America,NW,19,0,English,Other Christian
Bahrain,Asia,NE,1,0,Arabic,Muslim
Bangladesh,Asia,NE,143,90,Other Indo-European,Muslim
Barbados,N.America,NW,0,0,English,Other Christian
Belgium,Europe,NE,31,10,Other Indo-European,Catholic
Belize,N.America,NW,23,0,English,Other Christian
Benin,Africa,NE,113,3,French,Ethnic
Bermuda,N.America,NW,0,0,English,Other Christian
Bhutan,Asia,NE,47,1,Others,Buddhist
Bolivia,S.America,SW,1099,6,Spanish,Catholic
Botswana,Africa,SE,600,1,Others,Ethnic
Brazil,S.America,SW,8512,119,Other Indo-European,Catholic
British-Virgin-Isles,N.America,NW,0,0,English,Other Christian
Brunei,Asia,NE,6,0,Others,Muslim
Bulgaria,Europe,NE,111,9,Slavic,Marxist
Burkina,Africa,NW,274,7,French,Ethnic
Burma,Asia,NE,678,35,Others,Buddhist
Burundi,Africa,SE,28,4,Others,Ethnic
Cameroon,Africa,NE,474,8,French,Other Christian
Canada,N.America,NW,9976,24,English,Other Christian
Cape-Verde-Islands,Africa,NW,4,0,Other Indo-European,Catholic
Cayman-Islands,N.America,NW,0,0,English,Other Christian
Central-African-Republic,Africa,NE,623,2,Others,Ethnic
Chad,Africa,NE,1284,4,French,Ethnic
Chile,S.America,SW,757,11,Spanish,Catholic
China,Asia,NE,9561,1008,Chinese,Marxist
Colombia,S.America,NW,1139,28,Spanish,Catholic
Comorro-Islands,Africa,SE,2,0,French,Muslim
Congo,Africa,SE,342,2,Others,Ethnic
Cook-Islands,Oceania,SW,0,0,English,Other Christian
Costa-Rica,N.America,NW,51,2,Spanish,Catholic
Cuba,N.America,NW,115,10,Spanish,Marxist
Cyprus,Europe,NE,9,1,Other Indo-European,Other Christian
Czechoslovakia,Europe,NE,128,15,Slavic,Marxist
Denmark,Europe,NE,43,5,Other Indo-European,Other Christian
Djibouti,Africa,NE,22,0,French,Muslim
Dominica,N.America,NW,0,0,English,Other Christian
Dominican-Republic,N.America,NW,49,6,Spanish,Catholic
Ecuador,S.America,SW,284,8,Spanish,Catholic
Egypt,Africa,NE,1001,47,Arabic,Muslim
